,palavra,doc|ocorrencia
1120,alguma,"[(6, 1), (13, 1), (29, 1), (36, 1), (41, 1), (47, 1), (57, 1), (60, 1), (63, 1), (90, 1), (125, 1), (129, 2), (159, 1), (162, 1), (173, 1), (180, 2), (185, 1), (193, 1), (221, 2), (223, 1), (225, 1), (230, 2), (239, 1)]"
1121,coisa,"[(6, 2), (13, 1), (16, 1), (19, 1), (25, 1), (29, 1), (31, 1), (34, 1), (41, 1), (57, 1), (63, 3), (69, 4), (84, 1), (89, 1), (91, 1), (96, 1), (99, 1), (118, 1), (125, 1), (129, 1), (130, 1), (151, 1), (152, 1), (165, 1), (178, 1), (180, 2), (183, 1), (184, 1), (190, 1), (193, 1), (195, 3), (197, 1), (211, 2), (214, 1), (217, 1), (218, 1), (221, 1), (222, 1), (230, 1), (232, 1), (240, 1), (244, 2), (248, 2), (249, 1)]"
1122,errada,"[(6, 1), (151, 2)]"
1123,descobriu,"[(6, 2), (9, 1), (19, 1), (40, 1), (107, 1), (108, 1), (184, 1), (195, 1), (224, 1)]"
1124,casal,"[(6, 1), (9, 1), (10, 1), (14, 1), (112, 2), (145, 3), (187, 1), (195, 3), (198, 1), (218, 1), (224, 1), (249, 2)]"
1125,criou,"[(6, 2), (7, 1), (60, 1), (115, 1), (150, 1), (165, 1), (175, 1), (180, 1), (184, 1), (188, 1), (190, 1), (199, 1), (221, 1), (236, 1)]"
1126,discussão,"[(6, 1), (29, 1), (39, 1), (89, 1), (213, 1), (216, 2), (220, 1), (221, 2), (222, 1), (225, 2), (235, 1), (242, 1), (248, 2)]"
1127,prima,"[(6, 1), (13, 1), (41, 1), (198, 1), (199, 1)]"
1128,distante,"[(6, 1), (32, 1), (36, 1), (65, 1), (102, 1), (121, 1), (138, 1), (168, 2), (184, 2), (223, 1), (238, 1)]"
1129,enviou,"[(6, 1), (66, 1), (75, 1), (83, 2), (99, 1), (101, 1), (213, 1), (235, 1)]"
1130,facebook,"[(6, 1), (14, 2), (35, 1), (69, 2), (72, 1), (93, 1), (101, 1), (142, 2), (156, 1), (163, 1), (166, 1), (203, 1), (237, 2)]"
1131,grata,"[(6, 1), (145, 1), (166, 1), (187, 1)]"
1132,famílias,"[(6, 4), (7, 1), (9, 1), (10, 2), (39, 1), (65, 1), (76, 4), (80, 1), (94, 2), (108, 1), (110, 3), (111, 1), (127, 2), (128, 1), (140, 1), (147, 1), (165, 1), (180, 1), (203, 3), (237, 2), (242, 1), (249, 1)]"
1133,terem,"[(6, 2), (36, 1), (109, 2), (114, 1), (119, 1), (123, 1), (124, 1), (151, 1), (156, 1), (157, 1), (161, 1), (166, 1), (169, 1), (179, 1), (185, 1), (197, 1), (217, 1), (238, 1)]"
1134,salvado,"[(6, 1), (151, 2)]"
1135,briga,"[(6, 1), (50, 1), (76, 1), (221, 1), (230, 1)]"
1136,procurou,"[(6, 1), (214, 1)]"
1137,tias,"[(6, 2)]"
1138,confirmou,"[(6, 1), (8, 1), (21, 1), (70, 1), (119, 1), (206, 1), (230, 1), (246, 1)]"
1139,biológico,"[(6, 2), (108, 1), (161, 1), (195, 1)]"
1140,baderneiro,"[(6, 1)]"
1141,preso,"[(6, 2), (7, 2), (15, 2), (65, 1), (94, 1), (112, 1), (131, 1), (151, 3), (162, 3), (198, 1), (204, 1), (206, 1), (216, 3), (217, 1), (223, 2), (226, 1), (238, 3), (242, 1), (247, 1), (249, 1)]"
1142,moça,"[(6, 1), (238, 1)]"
1143,jovem,"[(6, 3), (31, 1), (45, 2), (46, 1), (55, 6), (65, 1), (71, 1), (80, 2), (93, 1), (94, 2), (103, 1), (107, 1), (110, 1), (122, 1), (124, 1), (140, 1), (148, 1), (152, 1), (154, 4), (158, 1), (160, 1), (181, 1), (182, 1), (183, 3), (184, 1), (189, 1), (193, 1), (196, 1), (198, 1), (214, 4), (216, 1), (222, 1), (238, 1), (239, 1), (242, 1), (249, 4)]"
1144,bonita,"[(6, 1), (11, 1), (151, 1), (154, 1), (197, 1)]"
1145,data,"[(6, 1), (17, 1), (39, 1), (82, 4), (90, 3), (91, 1), (94, 1), (100, 3), (103, 1), (114, 1), (120, 1), (131, 1), (151, 1), (162, 2), (166, 2), (169, 1), (172, 3), (177, 1), (183, 1), (189, 1), (195, 1), (200, 2), (208, 4), (228, 1), (229, 4), (230, 1), (238, 1)]"
1146,convenientemente,"[(6, 1), (9, 1), (65, 1)]"
1147,marcada,"[(6, 1), (62, 1), (84, 1), (124, 1), (201, 1), (212, 2), (246, 1)]"
1148,sendo,"[(6, 1), (15, 1), (25, 2), (28, 1), (29, 1), (30, 1), (37, 2), (40, 1), (47, 1), (61, 2), (63, 3), (79, 1), (86, 1), (91, 1), (96, 1), (100, 1), (103, 4), (104, 1), (107, 1), (108, 2), (112, 1), (132, 1), (133, 1), (134, 1), (143, 3), (147, 1), (151, 2), (156, 1), (164, 2), (165, 1), (166, 2), (171, 1), (175, 1), (178, 1), (180, 1), (185, 2), (195, 1), (197, 3), (201, 1), (202, 2), (203, 2), (205, 2), (206, 2), (207, 2), (211, 3), (217, 1), (220, 1), (221, 7), (222, 2), (230, 2), (236, 1), (238, 1), (242, 1), (248, 4), (249, 4)]"
1149,início,"[(6, 2), (7, 1), (8, 1), (10, 1), (11, 1), (19, 1), (20, 1), (32, 1), (37, 1), (38, 1), (39, 1), (43, 1), (51, 1), (55, 1), (56, 1), (59, 1), (60, 1), (63, 3), (66, 1), (81, 1), (86, 1), (90, 1), (96, 1), (109, 1), (115, 3), (134, 2), (140, 1), (150, 1), (154, 1), (166, 1), (168, 1), (178, 1), (180, 1), (181, 1), (196, 2), (201, 2), (203, 1), (206, 2), (208, 1), (209, 1), (210, 1), (211, 1), (215, 1), (220, 2), (224, 3), (225, 1), (230, 1), (242, 1), (244, 1), (246, 1)]"
1150,homenagem,"[(6, 1), (10, 1), (73, 1), (77, 1), (93, 1), (95, 1), (111, 1), (114, 1), (158, 1), (164, 1), (166, 1), (175, 1), (238, 1), (242, 1)]"
1151,tia,"[(6, 1)]"
1152,contaram,"[(6, 1), (179, 1), (184, 1)]"
1153,cinco,"[(6, 1), (10, 1), (16, 1), (23, 1), (45, 1), (51, 1), (53, 1), (57, 2), (65, 1), (67, 1), (69, 2), (74, 1), (76, 1), (86, 4), (96, 1), (99, 3), (103, 1), (108, 1), (109, 1), (119, 1), (124, 2), (130, 1), (136, 1), (137, 4), (138, 1), (139, 1), (141, 1), (143, 2), (151, 1), (154, 1), (158, 1), (162, 1), (164, 1), (170, 1), (174, 1), (181, 1), (182, 1), (183, 1), (195, 1), (196, 1), (197, 2), (202, 1), (204, 1), (206, 1), (207, 1), (217, 2), (222, 1), (224, 1), (233, 1), (235, 1), (242, 1), (243, 1), (249, 6)]"
1154,pistas,"[(6, 1), (7, 1), (30, 1), (34, 1), (36, 1), (37, 1), (176, 1)]"
1155,progenitores,"[(6, 1)]"
1156,desaparecidas,"[(6, 1), (166, 2), (245, 1), (249, 1)]"
1157,retornam,"[(6, 1)]"
1158,telefonemas,"[(6, 1), (45, 1)]"
1159,mudaram,"[(6, 1), (175, 1), (189, 1), (249, 4)]"
1160,endereço,"[(6, 1), (214, 1), (224, 2), (238, 4)]"
1161,serem,"[(6, 1), (9, 1), (33, 2), (52, 1), (59, 1), (94, 2), (107, 1), (112, 2), (117, 1), (121, 1), (125, 1), (137, 1), (154, 1), (187, 1), (197, 1), (202, 1), (206, 2), (207, 1), (208, 1), (211, 2), (216, 1), (217, 1), (223, 1), (248, 1), (249, 1)]"
1162,contatados,"[(6, 1)]"
1163,parece,"[(6, 1), (11, 3), (18, 1), (22, 1), (29, 1), (34, 2), (36, 1), (45, 2), (57, 2), (64, 1), (65, 1), (78, 2), (81, 1), (84, 1), (86, 2), (88, 1), (90, 1), (108, 2), (115, 1), (119, 1), (130, 1), (141, 1), (147, 1), (152, 1), (160, 1), (161, 1), (163, 2), (164, 2), (166, 5), (167, 1), (173, 2), (174, 1), (178, 1), (182, 2), (183, 1), (185, 1), (189, 1), (197, 1), (198, 2), (202, 1), (205, 1), (208, 1), (210, 1), (211, 1), (217, 1), (218, 2), (221, 2), (222, 1), (223, 1), (235, 1), (238, 3), (248, 1)]"
1164,pacto,"[(6, 1), (7, 1), (29, 1), (34, 1), (63, 1), (76, 1), (82, 1), (90, 2), (104, 1), (126, 1), (173, 1), (185, 1), (224, 1), (242, 1), (248, 1)]"
1165,fale,"[(6, 1)]"
1166,lamenta,"[(6, 2), (61, 1), (65, 1), (75, 1), (84, 1), (144, 1), (216, 1), (217, 1), (223, 1), (239, 1), (241, 1)]"
1167,distância,"[(6, 2), (25, 1), (31, 1), (44, 1), (63, 1), (95, 1), (125, 1), (166, 1), (174, 1)]"
1168,amado,"[(6, 1), (143, 1)]"
1169,faleceram,"[(6, 1)]"
1170,respectivamente,"[(6, 1), (24, 1), (115, 1), (142, 2), (144, 1)]"
1171,cuidar,"[(6, 1), (57, 1), (65, 2), (80, 1), (138, 1), (147, 1), (156, 1), (196, 1), (216, 1), (249, 2)]"
1172,adotiva,"[(6, 2)]"
1173,finais,"[(6, 1), (29, 1), (36, 1), (54, 1), (57, 1), (74, 1), (128, 1), (145, 1), (169, 1), (190, 1), (215, 1), (224, 1)]"
1174,doença,"[(6, 1), (9, 1), (14, 1), (50, 1), (78, 1), (112, 2), (120, 2), (159, 1), (192, 1), (195, 1), (226, 2)]"
1175,sucumbir,"[(6, 1), (163, 1)]"
1176,procuravam,"[(6, 1)]"
1177,precisavam,"[(6, 1), (7, 1), (19, 1), (189, 1)]"
1178,algo,"[(6, 4), (7, 1), (9, 1), (11, 1), (12, 3), (14, 1), (20, 1), (25, 1), (34, 1), (37, 2), (39, 1), (41, 2), (45, 1), (46, 1), (63, 3), (65, 1), (69, 3), (77, 1), (78, 1), (79, 1), (80, 2), (86, 3), (89, 1), (92, 1), (96, 1), (102, 1), (103, 4), (107, 1), (109, 1), (110, 1), (113, 1), (122, 1), (125, 2), (143, 1), (144, 1), (147, 1), (151, 4), (152, 5), (154, 1), (156, 1), (157, 3), (158, 1), (160, 1), (163, 1), (166, 5), (168, 1), (173, 2), (174, 1), (175, 2), (180, 4), (181, 2), (183, 1), (185, 1), (186, 1), (189, 2), (195, 1), (197, 1), (198, 2), (199, 2), (208, 2), (214, 1), (218, 1), (225, 1), (227, 1), (229, 1), (234, 2), (239, 1), (243, 2), (248, 3)]"
1179,amor,"[(6, 1), (14, 5), (15, 1), (41, 1), (99, 1), (112, 1), (117, 1), (166, 2), (182, 1), (184, 1), (187, 2), (198, 2), (212, 1), (232, 1)]"
1180,penso,"[(6, 1), (211, 1), (228, 1), (230, 1)]"
1181,obrigação,"[(6, 1), (76, 2), (120, 1), (157, 1), (185, 1)]"
1182,casou,"[(6, 1), (177, 1), (187, 1), (193, 1), (195, 1), (249, 1)]"
1183,marido,"[(6, 2), (46, 1), (83, 1), (109, 2), (112, 2), (114, 2), (146, 1), (187, 1), (216, 1), (249, 31)]"
1184,separada,"[(6, 1), (201, 1)]"
1185,mudou,"[(6, 1), (23, 1), (41, 1), (61, 1), (84, 1), (114, 1), (123, 1), (138, 1), (149, 1), (153, 1), (165, 1), (169, 1), (177, 2), (180, 1), (184, 1), (194, 1), (197, 3), (205, 1), (216, 1), (217, 1), (236, 1), (240, 1)]"
1186,advogado,"[(6, 1), (19, 1), (30, 1), (40, 1), (41, 1), (66, 1), (69, 1), (115, 1), (119, 4), (130, 1), (152, 1), (189, 1), (202, 1), (204, 1), (207, 1), (228, 1)]"
1187,suspeitou,"[(6, 1)]"
1188,pessoa,"[(6, 1), (13, 1), (14, 1), (15, 1), (25, 1), (30, 2), (31, 2), (41, 1), (60, 1), (63, 2), (66, 1), (69, 1), (80, 1), (92, 1), (108, 1), (112, 3), (117, 1), (130, 1), (139, 1), (147, 1), (149, 3), (150, 1), (154, 1), (156, 2), (166, 3), (171, 1), (177, 1), (178, 1), (181, 1), (183, 2), (189, 1), (193, 1), (195, 1), (197, 1), (202, 1), (207, 2), (214, 1), (217, 1), (218, 1), (224, 1), (237, 1), (239, 1), (240, 1), (249, 1)]"
1189,sequer,"[(6, 1), (13, 1), (57, 1), (68, 1), (69, 1), (99, 1), (105, 1), (129, 1), (130, 1), (133, 1), (135, 1), (166, 2), (171, 2), (173, 2), (190, 1), (195, 1), (196, 1), (207, 1), (221, 2), (223, 1), (238, 1), (239, 1), (249, 2)]"
1190,imaginasse,"[(6, 1)]"
1191,levantou,"[(6, 1), (11, 1), (230, 1)]"
1192,possibilidade,"[(6, 1), (17, 1), (19, 1), (23, 1), (24, 1), (36, 1), (37, 1), (61, 1), (66, 1), (79, 1), (88, 2), (90, 1), (109, 1), (111, 1), (132, 1), (137, 1), (139, 1), (150, 1), (170, 1), (173, 1), (178, 1), (188, 2), (204, 1), (221, 2), (232, 1), (240, 1), (249, 1)]"
1193,adotada,"[(6, 1), (98, 1), (125, 1)]"
1194,comentava,"[(6, 1), (63, 1)]"
1195,fisicamente,"[(6, 1), (59, 1)]"
1196,trataram,"[(6, 1), (37, 1)]"
1197,hostilidade,"[(6, 1), (217, 1)]"
1198,tentava,"[(6, 1), (11, 1), (27, 1), (95, 1), (151, 1), (162, 1)]"
1199,suspeitas,"[(6, 2), (66, 1), (151, 1), (181, 1), (202, 1), (204, 2), (207, 2), (247, 1)]"
1200,chantagem,"[(6, 1)]"
1201,emocional,"[(6, 1), (41, 2), (45, 1), (178, 1), (180, 2), (182, 1), (184, 1), (197, 1), (211, 1), (215, 1)]"
1202,dizia,"[(6, 1), (13, 2), (14, 1), (31, 2), (36, 1), (56, 1), (58, 2), (63, 2), (102, 1), (109, 1), (112, 1), (135, 1), (147, 1), (159, 1), (160, 1), (162, 2), (187, 3), (189, 1), (195, 3), (230, 1), (235, 1), (248, 1)]"
1203,amava,"[(6, 1), (198, 1)]"
1204,pedia,"[(6, 1), (135, 1), (160, 2), (240, 1)]"
1205,terminar,"[(6, 1), (18, 1), (37, 1), (58, 1), (124, 1)]"
1206,casamento,"[(6, 1), (9, 2), (94, 1), (129, 1), (145, 3), (177, 1), (218, 1), (238, 2), (249, 2)]"
1207,sequestradas,"[(6, 1), (165, 1), (245, 1), (249, 1)]"
1208,adotadas,"[(6, 1), (42, 1), (64, 1), (78, 1), (165, 1)]"
1209,ilegalmente,"[(6, 1), (188, 1), (249, 1)]"
1210,ligadas,"[(6, 1), (66, 1), (165, 1), (175, 1), (221, 1), (239, 1)]"
1211,investigação,"[(6, 3), (7, 1), (40, 2), (52, 1), (65, 1), (66, 4), (84, 1), (104, 1), (106, 1), (143, 1), (145, 1), (151, 3), (175, 1), (181, 4), (204, 5), (214, 1), (216, 1), (230, 1)]"
1212,eduardo,"[(6, 4), (13, 1), (15, 2), (76, 1), (168, 1), (203, 1), (207, 5), (216, 1), (228, 1), (229, 2), (240, 1)]"
1213,reina,"[(6, 8), (60, 5)]"
1214,debruçou,"[(6, 1), (217, 1)]"
1215,nessas,"[(6, 1), (42, 1), (86, 1), (147, 3), (211, 2), (217, 2), (240, 1), (248, 1)]"
1216,percorreu,"[(6, 1), (95, 1), (111, 2)]"
1217,quilômetros,"[(6, 2), (61, 2), (87, 1), (94, 2), (137, 1), (196, 2), (219, 2), (220, 2), (241, 1), (249, 1)]"
1218,território,"[(6, 1), (7, 1), (16, 1), (57, 1), (63, 2), (77, 3), (89, 1), (92, 1), (93, 1), (107, 2), (108, 1), (124, 1), (143, 1), (158, 1), (185, 1), (188, 1), (190, 1), (217, 1), (224, 1), (245, 1), (246, 2), (247, 1), (249, 1)]"
1219,busca,"[(6, 3), (29, 1), (36, 1), (49, 1), (57, 2), (74, 1), (98, 1), (102, 1), (114, 1), (116, 1), (117, 1), (118, 1), (133, 1), (153, 1), (168, 1), (185, 1), (190, 3), (201, 1), (208, 1), (209, 1), (221, 2), (232, 1), (244, 1)]"
1220,acessando,"[(6, 1)]"
1221,oficiais,"[(6, 1), (56, 1), (57, 1), (65, 1), (86, 1), (95, 1), (105, 1), (208, 2), (223, 2), (224, 1)]"
1222,secretos,"[(6, 2), (17, 3), (34, 1), (63, 1)]"
1223,consultar,"[(6, 1), (74, 1)]"
1224,centena,"[(6, 1), (83, 1), (86, 1), (101, 1), (138, 1), (175, 3), (187, 1), (189, 1), (247, 1), (249, 1)]"
1225,mil,"[(6, 1), (16, 1), (31, 1), (45, 1), (65, 1), (151, 1), (165, 1), (166, 2), (178, 3), (194, 1), (207, 19), (215, 3), (217, 1), (243, 1), (244, 4), (246, 1)]"
1226,edições,"[(6, 1), (16, 1)]"
1227,jornais,"[(6, 1), (16, 1), (102, 1), (138, 1), (140, 1), (167, 1), (170, 1), (172, 1), (185, 2), (193, 1), (211, 3), (229, 1)]"
1228,tema,"[(6, 2), (21, 1), (23, 1), (29, 1), (32, 2), (37, 1), (70, 1), (79, 2), (84, 1), (89, 1), (95, 1), (118, 1), (122, 1), (148, 1), (191, 1), (201, 1), (202, 1), (206, 1), (207, 1), (208, 2), (220, 1), (221, 1), (222, 2), (223, 1), (229, 1), (236, 1), (238, 1), (240, 1), (242, 2)]"
1229,reuniu,"[(6, 1), (39, 1), (119, 1), (153, 1), (169, 1), (193, 2), (201, 1), (213, 1), (225, 2), (235, 1), (238, 1), (244, 1)]"
1230,editora,"[(6, 1), (11, 2), (13, 2), (29, 1), (149, 1), (158, 1), (166, 1), (175, 1), (193, 1), (212, 1)]"
1231,alameda,"[(6, 1)]"
1232,lançado,"[(6, 1), (63, 1), (77, 2), (88, 1), (99, 1), (109, 1), (115, 1), (116, 1), (166, 1), (183, 1), (197, 1), (211, 1), (237, 1)]"
1233,parceria,"[(6, 1), (7, 1), (21, 2), (29, 1), (47, 1), (86, 1), (115, 1), (120, 1), (133, 2), (239, 1), (242, 1)]"
1234,considera,"[(6, 1), (10, 1), (12, 1), (17, 1), (25, 2), (45, 1), (64, 1), (89, 1), (101, 2), (106, 1), (110, 3), (123, 1), (125, 1), (128, 1), (133, 1), (137, 1), (143, 1), (144, 1), (165, 2), (189, 1), (207, 1), (208, 2), (223, 1), (229, 1)]"
1235,acredita,"[(6, 1), (7, 1), (24, 1), (34, 1), (37, 1), (41, 3), (45, 1), (69, 2), (90, 1), (102, 3), (108, 1), (110, 1), (125, 2), (136, 1), (138, 1), (139, 1), (202, 1), (211, 2), (223, 1), (236, 3), (248, 1)]"
1236,nascido,"[(6, 1), (114, 2), (146, 1), (196, 1), (212, 1), (223, 1), (244, 1), (249, 1)]"
1237,sul,"[(6, 1), (8, 1), (10, 1), (32, 1), (63, 1), (64, 2), (69, 1), (87, 1), (94, 2), (104, 1), (106, 1), (108, 1), (119, 1), (129, 2), (130, 1), (157, 1), (158, 1), (166, 1), (168, 1), (169, 1), (191, 1), (194, 2), (214, 2), (217, 2), (219, 5), (220, 3), (224, 2), (238, 1), (239, 2), (249, 3)]"
1238,representa,"[(6, 1), (19, 1), (23, 1), (34, 1), (45, 1), (61, 1), (64, 1), (65, 2), (105, 1), (108, 1), (123, 1), (133, 1), (143, 1), (154, 1), (173, 2), (180, 1), (204, 1), (220, 1), (232, 1), (242, 1)]"
1239,apropriação,"[(6, 2), (31, 2), (60, 1), (63, 1), (161, 1), (207, 2)]"
1240,bebês,"[(6, 1), (18, 1), (169, 1), (196, 1)]"
1241,dissidentes,"[(6, 1), (65, 2)]"
1242,época,"[(6, 1), (7, 2), (9, 3), (13, 2), (15, 1), (17, 2), (19, 1), (23, 1), (25, 2), (27, 1), (46, 1), (47, 2), (49, 1), (57, 1), (59, 1), (69, 1), (75, 1), (84, 2), (89, 1), (93, 1), (95, 1), (99, 1), (101, 1), (105, 1), (107, 1), (108, 2), (112, 1), (115, 1), (131, 1), (133, 1), (149, 1), (152, 1), (158, 2), (164, 1), (166, 1), (168, 1), (174, 1), (175, 2), (176, 2), (177, 2), (181, 1), (183, 1), (184, 2), (189, 1), (193, 1), (194, 2), (197, 1), (198, 4), (207, 3), (208, 3), (210, 1), (216, 5), (217, 3), (223, 2), (224, 1), (229, 1), (233, 3), (238, 1), (241, 1), (249, 2)]"
1243,maioria,"[(6, 1), (19, 1), (23, 1), (30, 1), (32, 1), (34, 1), (36, 1), (60, 1), (63, 1), (65, 1), (76, 1), (81, 3), (82, 3), (86, 1), (88, 1), (90, 3), (101, 2), (104, 1), (107, 3), (108, 1), (109, 1), (110, 1), (115, 1), (117, 1), (138, 1), (150, 1), (151, 2), (152, 1), (157, 1), (167, 2), (170, 1), (172, 1), (179, 1), (180, 1), (181, 2), (193, 1), (204, 1), (211, 4), (216, 1), (217, 1), (227, 1), (232, 1), (236, 2), (239, 3), (245, 1), (246, 2)]"
1244,casos,"[(6, 2), (7, 1), (30, 1), (41, 1), (59, 1), (63, 1), (69, 1), (70, 1), (76, 1), (104, 1), (115, 1), (117, 2), (119, 4), (122, 1), (140, 1), (146, 1), (150, 1), (161, 2), (164, 1), (165, 1), (167, 2), (169, 2), (179, 1), (188, 1), (194, 2), (202, 1), (204, 2), (207, 2), (210, 1), (214, 2), (217, 1), (223, 3), (224, 1), (232, 1), (242, 1)]"
1245,pegavam,"[(6, 1)]"
1246,nasciam,"[(6, 1)]"
1247,prática,"[(6, 1), (29, 2), (37, 1), (78, 1), (83, 1), (88, 1), (112, 1), (115, 1), (129, 1), (148, 1), (153, 1), (164, 1), (173, 1), (196, 1), (198, 1), (207, 3), (221, 1), (225, 1), (249, 1)]"
1248,ditaduras,"[(6, 1), (10, 1), (165, 2), (174, 1), (208, 1), (224, 2), (238, 2)]"
1249,argentina,"[(6, 1), (20, 1), (32, 3), (33, 1), (57, 3), (93, 2), (96, 4), (104, 1), (114, 2), (120, 1), (127, 1), (130, 1), (138, 1), (146, 3), (161, 2), (165, 1), (169, 5), (190, 2), (223, 1), (224, 4)]"
1250,chile,"[(6, 1), (28, 1), (57, 1), (65, 1), (95, 6), (109, 1), (138, 1), (166, 5), (188, 1), (208, 1), (224, 3), (238, 1)]"
1251,falsidade,"[(6, 1)]"
1252,cópia,"[(6, 1), (13, 3), (198, 1)]"
1253,aparece,"[(6, 1), (8, 1), (11, 1), (13, 1), (87, 2), (105, 1), (110, 1), (111, 1), (151, 1), (152, 1), (154, 1), (175, 2), (182, 1), (186, 1), (199, 1), (230, 3)]"
1254,ilegítima,"[(6, 1), (106, 1)]"
1255,encontrou,"[(6, 1), (29, 1), (56, 1), (66, 1), (79, 1), (107, 1), (112, 1), (125, 1), (151, 1), (161, 1), (166, 1), (186, 1), (190, 1), (194, 1), (195, 1), (230, 1), (249, 1)]"
1256,peças,"[(6, 1), (60, 2), (94, 1), (118, 1), (165, 1), (175, 1), (177, 1), (181, 1), (188, 4), (193, 1)]"
1257,quebra,"[(6, 1), (25, 2), (40, 2), (93, 1), (108, 1), (175, 1), (218, 1), (224, 1), (230, 2)]"
1258,pessoal,"[(6, 1), (13, 1), (19, 2), (31, 1), (52, 1), (60, 2), (64, 1), (66, 1), (96, 1), (108, 1), (131, 1), (154, 1), (167, 1), (175, 1), (180, 1), (181, 1), (184, 1), (189, 3), (195, 1), (197, 2), (211, 1), (217, 12), (223, 1), (237, 1), (247, 1)]"
1259,achei,"[(6, 1), (170, 1)]"
1260,fotos,"[(6, 1), (11, 3), (110, 1), (130, 1), (176, 1), (195, 1), (230, 1), (238, 1), (249, 1)]"
1261,pequena,"[(6, 1), (9, 1), (13, 1), (36, 1), (59, 1), (93, 1), (108, 2), (133, 1), (168, 1), (175, 1), (181, 1), (197, 1), (201, 1), (217, 1), (248, 1)]"
1262,vestida,"[(6, 1), (238, 1)]"
1263,raspada,"[(6, 1)]"
1264,demorei,"[(6, 1), (151, 1)]"
1265,aceitar,"[(6, 1), (63, 2), (90, 1), (97, 2), (108, 1), (166, 1)]"
1266,ligando,"[(6, 1)]"
1267,pontos,"[(6, 1), (7, 2), (28, 1), (30, 1), (37, 1), (44, 1), (49, 1), (56, 1), (60, 1), (61, 1), (63, 1), (68, 1), (84, 1), (94, 1), (96, 2), (108, 1), (113, 1), (123, 1), (138, 2), (144, 1), (209, 3), (215, 2), (219, 1), (225, 1), (231, 1), (236, 1), (241, 2), (248, 2)]"
1268,ficar,"[(6, 1), (7, 2), (11, 1), (14, 1), (15, 1), (34, 1), (55, 1), (102, 1), (104, 1), (125, 1), (138, 1), (152, 2), (166, 2), (169, 1), (191, 1), (193, 1), (196, 1), (211, 1), (215, 1), (217, 2), (244, 1), (249, 1)]"
1269,isolamento,"[(6, 1), (60, 1), (239, 1)]"
1270,roubou,"[(6, 1), (116, 1), (216, 1)]"
1271,identidade,"[(6, 1), (9, 1), (14, 1), (19, 1), (25, 1), (42, 1), (60, 1), (80, 1), (89, 1), (141, 1), (152, 1), (154, 1), (159, 1), (201, 1), (239, 1)]"
1272,entrei,"[(6, 1)]"
1273,depressão,"[(6, 1), (195, 1), (201, 1), (239, 1)]"
1274,emocionada,"[(6, 1), (145, 1)]"
1275,sobrevivente,"[(6, 1), (33, 1), (80, 1), (212, 1)]"
1276,câncer,"[(6, 1), (50, 2), (187, 1), (224, 1)]"
1277,persistiu,"[(6, 1), (74, 1)]"
1278,biológica,"[(6, 2)]"
1279,convalescia,"[(6, 1)]"
1280,recebia,"[(6, 2), (151, 1), (207, 1)]"
1281,ameaças,"[(6, 1), (23, 2), (24, 1), (83, 1), (88, 1), (138, 1), (151, 1), (158, 1), (166, 1), (173, 2), (185, 1), (197, 1), (214, 4), (217, 1), (230, 1), (248, 1)]"
1282,mensagens,"[(6, 1), (12, 1), (14, 1), (18, 2), (25, 1), (29, 1), (31, 1), (102, 1), (108, 2), (131, 1), (145, 2), (211, 3), (214, 2), (239, 1), (240, 1)]"
1283,ligações,"[(6, 1), (86, 1), (173, 1), (217, 1), (226, 1), (239, 1)]"
1284,números,"[(6, 1), (11, 1), (41, 1), (65, 1), (87, 1), (123, 1), (127, 1), (133, 1), (135, 1), (138, 1), (140, 1), (147, 1), (166, 1), (172, 1), (205, 1), (217, 1), (236, 5)]"
1285,anônimos,"[(6, 1), (197, 1)]"
1286,advertindo,"[(6, 1)]"
1287,questionamentos,"[(6, 1), (11, 1), (213, 1), (240, 1)]"
1288,sentia,"[(6, 1), (107, 1), (109, 1), (184, 1), (195, 1), (198, 1)]"
1289,sozinha,"[(6, 1), (56, 1), (139, 1), (158, 1), (166, 1), (197, 2)]"
1290,tentei,"[(6, 1)]"
1291,pedir,"[(6, 1), (14, 2), (15, 1), (34, 1), (63, 1), (65, 1), (90, 1), (102, 1), (103, 1), (107, 1), (140, 1), (169, 1), (172, 1), (180, 1), (182, 1), (211, 1), (217, 2), (218, 1), (223, 1), (235, 1), (248, 1)]"
1292,queria,"[(6, 1), (10, 1), (14, 2), (36, 1), (63, 2), (69, 3), (95, 1), (101, 1), (140, 1), (158, 3), (162, 1), (183, 2), (184, 2), (190, 1), (193, 1), (201, 1), (202, 1), (223, 2), (249, 2)]"
1293,apoiasse,"[(6, 1), (69, 1)]"
1294,inútil,"[(6, 1)]"
1295,ambas,"[(6, 1), (8, 1), (11, 1), (64, 1), (81, 1), (117, 1), (126, 1), (134, 1), (152, 1), (169, 1), (175, 1), (182, 1), (188, 1), (199, 2), (216, 1), (249, 1)]"
1296,sabiam,"[(6, 1), (104, 1), (135, 1), (164, 1), (224, 1)]"
1297,falaram,"[(6, 1), (217, 1), (223, 1)]"
1298,viajei,"[(6, 1)]"
1299,implorar,"[(6, 1)]"
1300,dissessem,"[(6, 1), (66, 1)]"
1301,relata,"[(6, 4), (65, 1), (195, 1), (198, 1), (217, 5), (249, 2)]"
