,palavra,doc|ocorrencia
10,sexta,"[(1, 3), (2, 1), (14, 1), (23, 1), (31, 1), (36, 1), (40, 1), (45, 1), (53, 1), (54, 1), (61, 1), (64, 2), (66, 1), (67, 1), (82, 1), (90, 4), (91, 4), (97, 1), (100, 1), (103, 1), (107, 1), (112, 1), (120, 1), (133, 1), (138, 2), (139, 1), (178, 1), (183, 1), (187, 1), (214, 1), (224, 1), (229, 1), (232, 1), (245, 1), (249, 2)]"
11,feira,"[(1, 2), (2, 1), (4, 1), (5, 2), (8, 1), (13, 1), (18, 2), (19, 1), (21, 1), (23, 1), (24, 1), (25, 1), (26, 1), (27, 3), (31, 1), (35, 1), (36, 2), (37, 1), (39, 1), (40, 2), (41, 1), (42, 2), (44, 1), (45, 1), (48, 1), (50, 1), (51, 1), (53, 2), (54, 1), (55, 1), (56, 1), (61, 2), (62, 1), (63, 2), (64, 4), (66, 1), (67, 2), (69, 1), (71, 1), (72, 1), (73, 1), (74, 1), (75, 1), (77, 2), (79, 1), (80, 1), (81, 1), (82, 3), (83, 3), (85, 1), (86, 1), (88, 2), (90, 6), (91, 5), (93, 1), (97, 1), (98, 1), (100, 2), (103, 3), (104, 1), (105, 1), (106, 1), (107, 3), (111, 1), (112, 4), (113, 1), (117, 2), (120, 1), (123, 1), (126, 2), (127, 2), (129, 1), (131, 2), (132, 1), (133, 1), (134, 3), (136, 1), (138, 3), (142, 1), (143, 1), (145, 1), (162, 1), (165, 1), (178, 2), (183, 1), (184, 2), (187, 2), (202, 3), (203, 1), (204, 2), (205, 1), (206, 3), (208, 1), (209, 3), (212, 3), (213, 1), (214, 3), (215, 3), (216, 3), (218, 4), (220, 1), (222, 2), (224, 1), (225, 1), (226, 2), (227, 1), (228, 1), (229, 2), (231, 2), (232, 1), (233, 2), (235, 3), (240, 2), (241, 3), (245, 2), (246, 5), (247, 1), (249, 2)]"
12,forças,"[(1, 3), (6, 3), (7, 1), (12, 1), (19, 3), (20, 1), (25, 5), (42, 1), (63, 2), (65, 3), (73, 1), (94, 1), (98, 1), (99, 2), (107, 1), (115, 2), (150, 8), (151, 4), (162, 2), (165, 1), (166, 4), (167, 1), (173, 1), (182, 1), (195, 1), (205, 1), (208, 4), (209, 1), (210, 3), (218, 2), (223, 1), (228, 1), (245, 3), (246, 1), (247, 1), (248, 2), (249, 4)]"
13,armadas,"[(1, 3), (6, 3), (12, 1), (25, 4), (42, 1), (65, 2), (99, 2), (115, 2), (150, 7), (151, 2), (156, 1), (165, 1), (166, 4), (205, 1), (208, 4), (218, 1), (223, 1), (246, 1), (249, 1)]"
14,comemorarem,"[(1, 1), (166, 1), (218, 1)]"
15,especialmente,"[(1, 1), (2, 1), (10, 1), (11, 1), (12, 1), (19, 1), (41, 1), (56, 1), (69, 1), (70, 1), (76, 1), (78, 1), (96, 1), (102, 1), (109, 1), (113, 1), (123, 3), (128, 1), (132, 2), (138, 1), (140, 1), (146, 1), (160, 1), (162, 1), (164, 3), (169, 1), (171, 1), (179, 1), (183, 1), (189, 1), (204, 1), (211, 1), (217, 1)]"
16,uso,"[(1, 1), (2, 1), (11, 1), (12, 2), (18, 1), (19, 1), (31, 2), (60, 1), (61, 1), (78, 1), (91, 1), (108, 1), (119, 1), (137, 2), (141, 1), (146, 3), (153, 1), (161, 1), (173, 1), (185, 1), (189, 1), (202, 1), (230, 4), (248, 1), (249, 1)]"
17,dinheiro,"[(1, 1), (2, 1), (10, 1), (13, 1), (14, 2), (26, 1), (31, 1), (34, 1), (40, 1), (41, 2), (47, 4), (65, 1), (69, 2), (70, 1), (80, 1), (83, 1), (88, 1), (106, 1), (117, 1), (125, 2), (127, 1), (135, 1), (138, 1), (140, 1), (144, 1), (149, 1), (157, 1), (167, 1), (171, 1), (178, 1), (180, 1), (184, 1), (189, 1), (197, 1), (202, 2), (204, 2), (207, 3), (213, 1), (217, 1), (219, 1), (220, 1), (243, 3), (249, 3)]"
18,público,"[(1, 1), (2, 1), (6, 1), (7, 2), (9, 1), (11, 1), (12, 1), (14, 1), (31, 2), (37, 1), (39, 2), (56, 4), (61, 1), (63, 1), (76, 2), (94, 1), (100, 1), (102, 1), (110, 4), (115, 1), (118, 1), (119, 1), (125, 1), (129, 1), (132, 1), (133, 1), (141, 1), (145, 1), (146, 1), (149, 2), (151, 2), (152, 2), (161, 1), (162, 3), (166, 2), (169, 2), (171, 2), (173, 3), (178, 1), (181, 1), (182, 1), (186, 1), (187, 1), (189, 1), (190, 1), (196, 1), (197, 11), (198, 1), (199, 4), (201, 2), (202, 2), (204, 1), (205, 1), (206, 1), (207, 1), (208, 1), (209, 1), (211, 3), (212, 1), (214, 1), (217, 3), (218, 1), (219, 2), (220, 3), (223, 4), (224, 1), (226, 1), (241, 2), (242, 1), (243, 1), (246, 1), (247, 1)]"
19,º,"[(1, 2), (6, 2), (22, 1), (26, 1), (57, 2), (96, 1), (165, 1), (172, 2), (174, 1), (175, 2), (197, 1), (202, 1), (215, 2), (223, 2), (229, 1), (230, 1), (237, 2), (238, 4), (249, 1)]"
